Subject,Block,Cond,Time,Signal
5,Can,Standard,0.1640625,3.117051975578412e-07
5,Can,Standard,0.171875,2.6987998468847836e-07
5,Can,Standard,0.1796875,2.246402370053571e-07
5,Can,Standard,0.1875,2.2520864260864075e-07
5,Can,Standard,0.1953125,2.2753452476157394e-07
5,Can,Standard,0.203125,1.5311583119644727e-07
5,Can,Standard,0.2109375,2.9610806657433758e-08
5,Can,Standard,0.21875,-5.5410674154521356e-08
5,Can,Standard,0.2265625,-8.406712370880193e-08
5,Can,Standard,0.234375,-8.834416129793497e-08
5,Can,Standard,0.2421875,-8.625073727087762e-08
5,Can,Standard,0.25,-1.0775474991937802e-07
5,Can,Standard,0.2578125,-1.794427630682338e-07
5,Can,Standard,0.265625,-2.5687103956572193e-07
5,Can,Standard,0.2734375,-2.787328393872111e-07
5,Can,Standard,0.28125,-2.633774347957641e-07
5,Can,Standard,0.2890625,-2.569563514699461e-07
5,Can,Standard,0.296875,-2.505697948492294e-07
5,Can,Standard,0.3046875,-2.3095528465600308e-07
5,Can,Standard,0.3125,-2.189721436655625e-07
5,Can,Standard,0.3203125,-2.1669614890417877e-07
5,Can,Standard,0.328125,-2.2216200818181687e-07
5,Can,Standard,0.3359375,-2.7363021097066875e-07
5,Can,Standard,0.34375,-3.6305377223607214e-07
5,Can,Standard,0.3515625,-3.965115035014958e-07
5,Can,Standard,0.359375,-3.5859183944184683e-07
5,Can,Standard,0.3671875,-3.6299908473621983e-07
5,Can,Standard,0.375,-4.3691084967223613e-07
5,Can,Standard,0.3828125,-4.5259153695795526e-07
5,Can,Standard,0.390625,-3.6537810869682153e-07
5,Can,Standard,0.3984375,-2.8898250011695884e-07
5,Can,Standard,0.40625,-2.7169064401539416e-07
5,Can,Standard,0.4140625,-2.3579463569446352e-07
5,Can,Standard,0.421875,-1.6480964232157717e-07
5,Can,Standard,0.4296875,-1.2953707489423286e-07
5,Can,Standard,0.4375,-1.346757459759064e-07
5,Can,Standard,0.4453125,-1.211188365530756e-07
5,Can,Standard,0.453125,-8.120999886090423e-08
5,Can,Standard,0.4609375,-3.680884501357475e-08
5,Can,Standard,0.46875,1.83209555354391e-08
5,Can,Standard,0.4765625,6.967493907718186e-08
5,Can,Standard,0.484375,7.359876049399286e-08
5,Can,Standard,0.4921875,3.889718737550142e-08
5,Can,Standard,0.5,1.2835149647539734e-08
7,Can,Standard,-0.203125,-4.061360717815797e-08
7,Can,Standard,-0.1953125,-6.117522589952376e-08
7,Can,Standard,-0.1875,-7.106277336058485e-08
7,Can,Standard,-0.1796875,-3.993456483683618e-08
7,Can,Standard,-0.171875,-7.580192085685612e-09
7,Can,Standard,-0.1640625,-2.2635687103887712e-08
7,Can,Standard,-0.15625,-4.765339393577996e-08
7,Can,Standard,-0.1484375,-2.7241193363904165e-08
7,Can,Standard,-0.140625,1.2854177122537117e-09
7,Can,Standard,-0.1328125,-1.7688308312183305e-08
7,Can,Standard,-0.125,-4.950986963800486e-08
7,Can,Standard,-0.1171875,-3.9778740152682657e-08
7,Can,Standard,-0.109375,2.157467220158824e-09
7,Can,Standard,-0.1015625,4.852150344506658e-08
7,Can,Standard,-0.09375,8.736325285178835e-08
7,Can,Standard,-0.0859375,9.581734420218708e-08
7,Can,Standard,-0.078125,6.985673312069968e-08
7,Can,Standard,-0.0703125,4.5420241426407364e-08
7,Can,Standard,-0.0625,2.613316242544812e-08
7,Can,Standard,-0.0546875,-1.6708172514134326e-08
7,Can,Standard,-0.046875,-4.769282816796441e-08
7,Can,Standard,-0.0390625,-1.1663162180142312e-08
7,Can,Standard,-0.03125,4.2170032415123836e-08
7,Can,Standard,-0.0234375,3.642576807296583e-08
7,Can,Standard,-0.015625,-2.430997796350764e-10
7,Can,Standard,-0.0078125,-7.526052685810977e-09
7,Can,Standard,0.0,1.294233700857592e-08
7,Can,Standard,0.0078125,6.104328004055358e-08
7,Can,Standard,0.015625,1.3970326555882723e-07
7,Can,Standard,0.0234375,1.9439064537218217e-07
7,Can,Standard,0.03125,2.31987580445482e-07
